datetime,forecast_mean,forecast_lower,forecast_upper,confidence_interval
2025-09-12 13:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 14:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 15:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 16:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 17:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-12 18:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-12 19:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 20:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 21:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 22:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-12 23:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 00:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 01:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 02:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 03:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 04:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 05:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 06:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 07:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 08:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 09:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 10:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 11:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 12:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 13:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 14:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 15:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 16:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 17:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 18:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 19:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 20:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 21:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-13 22:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-13 23:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 00:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 01:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 02:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 03:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 04:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 05:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 06:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 07:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 08:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 09:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 10:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 11:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 12:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 13:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 14:30:00+00:00,228.01971,227.98026,228.05917,0.07891846
2025-09-14 15:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-14 16:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
